length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
151	76	400	0.5033112582781457	86293182	1.8391409306013151	1.840422768028406
151	77	390	0.5099337748344371	84116603	1.839561804128347	1.8527742284624757
151	78	369	0.5165562913907285	80774113	1.8125319495839767	1.8849185520302019
151	79	349	0.5231788079470199	76080919	1.8200410323566805	1.928809764120996
151	80	364	0.5298013245033113	70238304	2.056169294373994	1.9469097888052995
151	81	307	0.5364238410596026	63645437	1.9138266807620785	1.97088517913271
151	82	288	0.543046357615894	56866964	2.0093886600765365	2.0214448132935527
151	83	267	0.5496688741721855	50214368	2.1096711430194466	2.041727081642227
151	84	230	0.5562913907284768	44083302	2.0700709024159867	2.1020316305664566
151	85	195	0.5629139072847682	38618351	2.003421766659948	2.1445026912914975
151	86	162	0.5695364238410596	33865997	1.897940752621327	2.217353568925086
151	87	138	0.5761589403973509	29782475	1.8384414475818376	2.253732737945958
151	88	129	0.5827814569536424	26290464	1.9468072789810495	2.301970123117355
151	89	138	0.5894039735099338	23318993	2.348014618451572	2.3565825585506865
151	90	137	0.5960264900662252	20786457	2.61499942698026	2.38510197060982
151	91	110	0.6026490066225165	18597443	2.3467722868250154	2.443483101430203
151	92	107	0.609271523178808	16679339	2.5452851528077742	2.4775204055382973
151	93	93	0.6158940397350994	14970306	2.4648118487802897	2.51298814618383
151	94	96	0.6225165562913907	13435873	2.834894132411558	2.5449093996125827
151	95	72	0.6291390728476821	12046657	2.371359801200047	2.583387851904736
151	96	73	0.6357615894039735	10748187	2.6947541437700355	2.592985816760893
151	97	53	0.6423841059602649	9546654	2.202704246311199	2.5996481313647335
151	98	58	0.6490066225165563	8464569	2.718658426904448	2.5742799912052474
151	99	44	0.6556291390728477	7455242	2.34165242862447	2.5810109820255804
151	100	30	0.6622516556291391	6539849	1.820057195296428	2.5445367205636718
151	101	35	0.6688741721854304	5700398	2.436095824660402	2.507270520835987
151	102	29	0.6754966887417219	4969294	2.315446806122173	2.4186648406672306
151	103	27	0.6821192052980133	4309629	2.48573817044157	2.346381085786371
151	104	21	0.6887417218543046	3738190	2.228894053010014	2.316434335706398
151	105	17	0.695364238410596	3259956	2.0690390390364835	2.2504026854749095
151	106	12	0.7019867549668874	2846633	1.6725583141349305	2.1722104432836726
151	107	17	0.7086092715231788	2487018	2.7120737483770596	2.0528538269324557
151	108	13	0.7152317880794702	2185616	2.3599401720434563	1.9814618846546046
151	109	6	0.7218543046357616	1925463	1.2363674844546115	1.9278514439605294
151	110	4	0.7284768211920529	1693132	0.9373476081488545	1.8616573760553807
151	111	7	0.7350993377483444	1507083	1.8428601167556808	1.8018374504963337
151	112	5	0.7417218543046358	1346743	1.4730475956439784	1.8018374504963337
151	113	6	0.7483443708609272	1218830	1.953168075712306	1.6541243814494846
151	114	4	0.7549668874172185	1110161	1.4295703330240266	1.539541399532227
151	115	5	0.7615894039735099	1013209	1.9579539247088786	1.5315909274054762
151	116	3	0.7682119205298014	937138	1.2701330250829812	1.5262983152400884
151	117	2	0.7748344370860927	867101	0.9151490025269757	1.4772285027349052
151	118	3	0.7814569536423841	801050	1.4859121438864178	1.509392704482791
151	119	2	0.7880794701986755	734450	1.080436537872072	1.4757594697556544
151	120	3	0.7947019867549668	668490	1.7805650389089063	1.4757594697556544
151	121	5	0.8013245033112583	595110	3.333529159483723	1.5156154486689903
151	122	2	0.8079470198675497	518815	1.5294982127350658	1.3405029353804037
151	123	0	0.8145695364238411	438363	0.0	1.3405029353804037
151	124	2	0.8211920529801324	370249	2.1432241957173237	1.2350154846845747
151	125	1	0.8278145695364238	308918	1.2843644838438408	1.065569052339647
151	126	0	0.8344370860927153	254553	0.0	0.9364737897076604
151	127	0	0.8410596026490066	201078	0.0	0.0
151	128	0	0.847682119205298	157287	0.0	0.0
151	129	0	0.8543046357615894	120964	0.0	0.0
151	130	0	0.8609271523178808	89993	0.0	0.0
151	131	0	0.8675496688741722	68253	0.0	0.0
151	132	0	0.8741721854304636	49168	0.0	0.0
151	133	0	0.8807947019867549	37146	0.0	0.0
151	134	0	0.8874172185430463	26222	0.0	0.0
